dataset,item_code,null_anchor,emm_se,df,ci,t,p_display,p_bh_within_dataset
C,EventScouting,4,3.95 (0.13),455.8538063877341,3.69 -- 4.21,-0.4006196902360115,0.738,0.7380941114841442
C,EventUncommon,3,3.51 (0.13),455.8538063836729,3.25 -- 3.77,3.8726570056145415,< .001,2.5242115334295803e-4
C,EventUncommon,3.5,3.51 (0.13),455.8538063836729,3.25 -- 3.77,0.06676994837263647,0.947,0.9467941215555498
C,EventUncommon,4,3.51 (0.13),455.8538063836729,3.25 -- 3.77,-3.739117108869269,< .001,4.0729729366546823e-4
C,IntroCivs,3,3.81 (0.13),455.8538063601449,3.55 -- 4.07,6.142835250285155,< .001,6.118812528061807e-9
C,IntroCivs,3.5,3.81 (0.13),455.8538063601449,3.55 -- 4.07,2.3369481930432503,0.028,0.02794785328964947
C,IntroCivs,4,3.81 (0.13),455.8538063601449,3.55 -- 4.07,-1.468938864198655,0.194,0.19437150363869837
C,IntroEconomy,3,3.37 (0.13),455.8538063834112,3.11 -- 3.63,2.804337831651908,0.008,0.00815799734674607
C,IntroEconomy,3.5,3.37 (0.13),455.8538063834112,3.11 -- 3.63,-1.0015492255899967,0.396,0.3963658645122009
C,IntroEconomy,4,3.37 (0.13),455.8538063834112,3.11 -- 3.63,-4.807436282831902,< .001,6.2388711369917096e-6
C,IntroLayout,3,4.11 (0.13),455.8538063601444,3.85 -- 4.36,8.413013494955766,< .001,4.6717042840805035e-15
C,IntroLayout,3.5,4.11 (0.13),455.8538063601444,3.85 -- 4.36,4.607126437713862,< .001,1.3264346448209295e-5
C,IntroLayout,4,4.11 (0.13),455.8538063601444,3.85 -- 4.36,0.8012393804719556,0.489,0.4885505808143683
C,IntroPlayers,3,2.86 (0.13),455.8538063876574,2.60 -- 3.12,-1.0683191739626638,0.368,0.3676396643063166
C,IntroPlayers,3.5,2.86 (0.13),455.8538063876574,2.60 -- 3.12,-4.874206231204569,< .001,4.8561017045269225e-6
C,IntroPlayers,4,2.86 (0.13),455.8538063876574,2.60 -- 3.12,-8.680093288446475,< .001,1.0606646192230421e-15
C,Knowledge,3,3.61 (0.13),455.85380637283345,3.36 -- 3.87,4.673896386086527,< .001,1.096109228037912e-5
C,Knowledge,3.5,3.61 (0.13),455.85380637283345,3.36 -- 3.87,0.8680093288446223,0.469,0.46927209359805416
C,Knowledge,4,3.61 (0.13),455.85380637283345,3.36 -- 3.87,-2.937877728397283,0.006,0.00558033543068493
C,Predictions,3,2.51 (0.13),463.1642832045599,2.25 -- 2.77,-3.701523921344036,< .001,4.5017587904035345e-4
C,Predictions,3.5,2.51 (0.13),463.1642832045599,2.25 -- 2.77,-7.480545148393052,< .001,1.9495032678704943e-12
C,Predictions,4,2.51 (0.13),463.1642832045599,2.25 -- 2.77,-11.259566375442068,< .001,1.656707693058193e-24
C,StateAgeUp,3,4.11 (0.13),455.853806368772,3.85 -- 4.36,8.413013494955765,< .001,4.6717042840805035e-15
C,StateAgeUp,3.5,4.11 (0.13),455.853806368772,3.85 -- 4.36,4.607126437713861,< .001,1.3264346448209295e-5
C,StateAgeUp,4,4.11 (0.13),455.853806368772,3.85 -- 4.36,0.8012393804719554,0.489,0.4885505808143683
C,StateMilTech,3,4.07 (0.13),455.85380640478144,3.81 -- 4.33,8.145933701465099,< .001,2.734515931310848e-14
C,StateMilTech,3.5,4.07 (0.13),455.85380640478144,3.81 -- 4.33,4.340046644223194,< .001,3.951158898432798e-5
C,StateMilTech,4,4.07 (0.13),455.85380640478144,3.81 -- 4.33,0.534159586981288,0.651,0.6513931309241028
G,InterestBattles,3,2.91 (0.14),440.99999999217766,2.65 -- 3.18,-0.6468265615725634,0.565,0.5651789538978341
G,InterestBattles,3.5,2.91 (0.14),440.99999999217766,2.65 -- 3.18,-4.333737962536163,< .001,3.6349520687004066e-5
G,InterestBattles,4,2.91 (0.14),440.99999999217766,2.65 -- 3.18,-8.020649363499762,< .001,4.592650183370786e-14
G,InterestSkill,3,4.02 (0.14),440.9999999874494,3.75 -- 4.29,7.37499875645217,< .001,3.2836514855817452e-12
G,InterestSkill,3.5,4.02 (0.14),440.9999999874494,3.75 -- 4.29,3.7533475814086943,< .001,3.391317162927577e-4
G,InterestSkill,4,4.02 (0.14),440.9999999874494,3.75 -- 4.29,0.13169640636521973,0.895,0.8952844889986884
G,InterestStrategy,3,4.64 (0.14),440.9999999913639,4.37 -- 4.91,12.007402891116374,< .001,1.4882780692586171e-27
G,InterestStrategy,3.5,4.64 (0.14),440.9999999913639,4.37 -- 4.91,8.35297592425487,< .001,5.230057129164211e-15
G,InterestStrategy,4,4.64 (0.14),440.9999999913639,4.37 -- 4.91,4.698548957393366,< .001,8.41580682281175e-6
G,LimitedTime,3,3.58 (0.14),440.9999999874494,3.31 -- 3.85,4.214285003686954,< .001,5.613536674114737e-5
G,LimitedTime,3.5,3.58 (0.14),440.9999999874494,3.31 -- 3.85,0.5926338286434791,0.578,0.5778052039946174
G,LimitedTime,4,3.58 (0.14),440.9999999874494,3.31 -- 3.85,-3.029017346399996,0.004,0.00415617563130987
